Heights,RandomSample
62,RandomSample1
65,RandomSample1
63,RandomSample1
64,RandomSample1
69,RandomSample1
68,RandomSample1
62,RandomSample1
63,RandomSample1
66,RandomSample1
65,RandomSample1
64,RandomSample1
65,RandomSample1
68,RandomSample1
64,RandomSample1
66,RandomSample1
64,RandomSample1
70,RandomSample1
67,RandomSample1
62,RandomSample1
67,RandomSample1
63,RandomSample1
63,RandomSample1
64,RandomSample1
69,RandomSample1
67,RandomSample1
63,RandomSample2
65,RandomSample2
65,RandomSample2
66,RandomSample2
66,RandomSample2
63,RandomSample2
67,RandomSample2
61,RandomSample2
66,RandomSample2
65,RandomSample2
67,RandomSample2
62,RandomSample2
61,RandomSample2
64,RandomSample2
63,RandomSample2
64,RandomSample2
65,RandomSample2
65,RandomSample2
64,RandomSample2
65,RandomSample2
62,RandomSample2
60,RandomSample2
67,RandomSample2
65,RandomSample2
65,RandomSample2
67,RandomSample3
62,RandomSample3
64,RandomSample3
66,RandomSample3
65,RandomSample3
65,RandomSample3
69,RandomSample3
63,RandomSample3
65,RandomSample3
66,RandomSample3
66,RandomSample3
66,RandomSample3
63,RandomSample3
65,RandomSample3
66,RandomSample3
63,RandomSample3
61,RandomSample3
64,RandomSample3
64,RandomSample3
64,RandomSample3
68,RandomSample3
66,RandomSample3
65,RandomSample3
65,RandomSample3
66,RandomSample3
66,RandomSample4
67,RandomSample4
66,RandomSample4
67,RandomSample4
63,RandomSample4
66,RandomSample4
63,RandomSample4
65,RandomSample4
67,RandomSample4
65,RandomSample4
64,RandomSample4
64,RandomSample4
64,RandomSample4
66,RandomSample4
66,RandomSample4
67,RandomSample4
68,RandomSample4
66,RandomSample4
64,RandomSample4
67,RandomSample4
64,RandomSample4
64,RandomSample4
68,RandomSample4
65,RandomSample4
68,RandomSample4
