id,mode,fear
a,flying,7
b,flying,7
c,flying,6
d,flying,6
e,flying,6
f,flying,6
g,flying,6
h,flying,6
i,flying,6
j,flying,5
k,flying,5
l,flying,5
m,flying,5
n,flying,5
o,flying,5
p,flying,5
q,flying,5
r,flying,5
s,flying,5
t,flying,5
u,flying,4
v,flying,4
w,flying,4
x,flying,4
y,flying,3
a,driving,5
b,driving,4
c,driving,4
d,driving,4
e,driving,4
f,driving,4
g,driving,4
h,driving,3
i,driving,3
j,driving,3
k,driving,3
l,driving,3
m,driving,3
n,driving,3
o,driving,3
p,driving,2
q,driving,2
r,driving,2
s,driving,2
t,driving,2
u,driving,2
v,driving,2
w,driving,2
x,driving,1
y,driving,1
