heights,sex
61,f
66,f
65,f
64,f
58,f
63,f
70,f
60,f
61,f
66,f
63,f
68,f
68,f
74,f
71,f
60,f
61,f
65,f
59,f
65,f
60,f
61,f
67,f
54,f
67,f
64,f
64,f
66,f
59,f
66,f
56,f
62,f
65,f
71,f
62,f
62,f
70,f
63,f
66,f
67,f
63,f
57,f
67,f
60,f
66,f
69,f
65,f
62,f
68,f
63,f
68,f
62,f
68,f
65,f
63,f
57,f
64,f
65,f
65,f
65,f
69,f
55,f
68,f
61,f
65,f
63,f
64,f
69,f
59,f
61,f
70,f
71,f
66,f
62,f
58,f
71,f
70,f
62,f
69,f
66,f
62,f
64,f
65,f
64,f
66,f
68,f
58,f
67,f
69,f
57,f
69,f
60,f
61,f
62,f
62,f
74,f
64,f
68,f
58,f
64,f
60,f
59,f
62,f
70,f
64,f
64,f
63,f
65,f
65,f
58,f
61,f
55,f
69,f
58,f
65,f
65,f
67,f
64,f
67,f
66,f
66,f
73,f
62,f
66,f
59,f
67,f
64,f
69,f
61,f
68,f
64,f
58,f
61,f
58,f
66,f
58,f
59,f
65,f
66,f
66,f
59,f
56,f
59,f
61,f
56,f
69,f
62,f
63,f
70,f
68,f
62,f
64,f
63,f
59,f
63,f
64,f
61,f
59,f
67,f
59,f
62,f
59,f
70,f
66,f
69,f
69,f
66,f
65,f
57,f
68,f
60,f
60,f
61,f
63,f
60,f
71,f
63,f
58,f
66,f
65,f
68,f
59,f
64,f
65,f
62,f
63,f
61,f
64,f
61,f
72,f
65,f
66,f
62,f
58,f
68,f
66,f
61,f
63,f
63,f
65,f
78,m
66,m
61,m
71,m
71,m
66,m
74,m
65,m
75,m
69,m
73,m
72,m
64,m
73,m
63,m
72,m
74,m
64,m
70,m
67,m
73,m
73,m
70,m
63,m
71,m
69,m
75,m
73,m
75,m
73,m
71,m
63,m
66,m
63,m
64,m
65,m
59,m
64,m
65,m
71,m
71,m
66,m
72,m
75,m
66,m
71,m
64,m
69,m
65,m
65,m
60,m
69,m
63,m
64,m
61,m
70,m
72,m
67,m
61,m
76,m
72,m
62,m
66,m
70,m
65,m
64,m
65,m
72,m
67,m
72,m
69,m
64,m
70,m
66,m
60,m
66,m
75,m
75,m
67,m
65,m
71,m
62,m
69,m
71,m
66,m
65,m
69,m
69,m
75,m
72,m
64,m
69,m
72,m
67,m
65,m
61,m
71,m
73,m
67,m
68,m
65,m
75,m
69,m
70,m
64,m
64,m
61,m
73,m
69,m
66,m
70,m
72,m
72,m
75,m
77,m
71,m
74,m
72,m
72,m
67,m
68,m
66,m
68,m
75,m
65,m
63,m
69,m
70,m
70,m
62,m
76,m
72,m
59,m
67,m
74,m
78,m
68,m
60,m
69,m
76,m
66,m
79,m
64,m
60,m
70,m
70,m
70,m
75,m
72,m
73,m
71,m
60,m
73,m
68,m
67,m
70,m
64,m
76,m
60,m
66,m
69,m
66,m
68,m
62,m
69,m
69,m
69,m
69,m
74,m
67,m
74,m
71,m
74,m
61,m
68,m
65,m
59,m
69,m
72,m
67,m
64,m
75,m
70,m
63,m
74,m
72,m
61,m
75,m
62,m
66,m
60,m
62,m
71,m
66,m
66,m
76,m
75,m
70,m
65,m
72,m
