hormone,approaches
O,8
O,9
O,8
O,7
O,10
O,9
O,9
O,11
O,10
O,10
O,9
O,8
O,9
O,8
O,8
O,9
O,7
O,10
O,10
O,9
O,9
O,8
O,9
O,9
O,9
O,9
O,10
O,9
O,9
O,9
O,8
O,8
O,10
O,10
O,9
O,10
O,8
O,9
O,9
O,8
O,10
O,10
P,4
P,5
P,5
P,5
P,6
P,5
P,6
P,4
P,4
P,6
P,5
P,4
P,4
P,6
P,6
P,7
P,3
P,5
P,5
P,4
P,6
P,5
P,5
P,7
P,5
P,3
P,5
P,6
P,5
P,5
P,3
P,5
P,5
P,5
P,5
P,4
P,6
P,4
P,5
P,4
P,6
P,7
V,5
V,4
V,7
V,5
V,6
V,7
V,5
V,5
V,4
V,4
V,7
V,4
V,5
V,4
V,4
V,3
V,5
V,3
V,4
V,5
V,5
V,5
V,4
V,6
V,5
V,5
V,6
V,4
V,5
V,7
V,5
V,5
V,4
V,5
V,6
V,5
V,4
V,5
V,4
V,4
V,6
V,4
E,7
E,8
E,6
E,7
E,8
E,5
E,8
E,10
E,3
E,7
E,5
E,6
E,6
E,5
E,6
E,5
E,8
E,8
E,6
E,7
E,9
E,6
E,6
E,8
E,9
E,6
E,5
E,7
E,7
E,9
E,7
E,7
E,6
E,7
E,8
E,7
E,7
E,6
E,8
E,6
E,7
E,9
