id,memory_condition,word_frequency,n_words,correct_responses
1,recognition,high,50,17
2,recognition,low,50,46
3,recognition,high,50,17
4,recognition,low,50,46
5,recognition,high,50,19
6,recognition,low,50,46
7,recognition,high,50,16
8,recognition,low,50,45
9,recognition,high,50,16
10,recognition,low,50,47
11,recognition,high,50,19
12,recognition,low,50,43
13,recognition,high,50,13
14,recognition,low,50,48
15,recognition,high,50,18
16,recognition,low,50,45
17,recognition,high,50,20
18,recognition,low,50,45
19,recognition,high,50,16
20,recognition,low,50,45
21,recognition,high,50,11
22,recognition,low,50,45
23,recognition,high,50,10
24,recognition,low,50,42
25,recognition,high,50,17
26,recognition,low,50,45
27,recognition,high,50,11
28,recognition,low,50,41
29,recognition,high,50,11
30,recognition,low,50,46
31,recognition,high,50,14
32,recognition,low,50,43
33,recognition,high,50,10
34,recognition,low,50,47
35,recognition,high,50,17
36,recognition,low,50,48
37,recognition,high,50,15
38,recognition,low,50,43
39,recognition,high,50,20
40,recognition,low,50,44
41,free_recall,high,50,16
42,free_recall,low,50,46
43,free_recall,high,50,13
44,free_recall,low,50,46
45,free_recall,high,50,16
46,free_recall,low,50,47
47,free_recall,high,50,17
48,free_recall,low,50,46
49,free_recall,high,50,19
50,free_recall,low,50,46
51,free_recall,high,50,21
52,free_recall,low,50,44
53,free_recall,high,50,15
54,free_recall,low,50,48
55,free_recall,high,50,18
56,free_recall,low,50,47
57,free_recall,high,50,18
58,free_recall,low,50,46
59,free_recall,high,50,19
60,free_recall,low,50,45
61,free_recall,high,50,13
62,free_recall,low,50,44
63,free_recall,high,50,15
64,free_recall,low,50,43
65,free_recall,high,50,16
66,free_recall,low,50,48
67,free_recall,high,50,15
68,free_recall,low,50,48
69,free_recall,high,50,13
70,free_recall,low,50,47
71,free_recall,high,50,17
72,free_recall,low,50,43
73,free_recall,high,50,12
74,free_recall,low,50,45
75,free_recall,high,50,20
76,free_recall,low,50,46
77,free_recall,high,50,17
78,free_recall,low,50,44
79,free_recall,high,50,22
80,free_recall,low,50,46
