Participant ID,Poll ID,Poll Type,Poll Question,Poll Option,Submission Date,Submission Time
644878333,64181010,Open Text,What packages should you load?,library(tidyverse),9/19/2025,10:07:15
644878333,64181010,Open Text,What packages should you load?,library (ggplot),9/19/2025,10:08:06
644878333,64181008,Multiple choice (Single selection),How do you load the new dataset?,"data <- read_csv(""HandWashingData.csv"")",9/19/2025,10:12:24
644878333,64181203,Open Text,What is the code for adding the column?,"mutate(data, Mean=mean(washes))",9/19/2025,10:23:15
644878333,64181224,Open Text,"In this new column, what values did you get in the top 3 rows?",35.02,9/19/2025,10:28:50
644878333,64181308,Open Text,What is the code for creating a histogram of washes?,"ggplot(data, aes(x = washes))",9/19/2025,11:02:37
644878360,64181010,Open Text,What packages should you load?,ggplot2,9/19/2025,10:06:31
644878360,64181008,Multiple choice (Single selection),How do you load the new dataset?,"data <- read_csv(""HandWashingData.csv"")",9/19/2025,10:10:33
644878360,64181130,Open Text,Take a peek at the data. What are the column names?,washes sex,9/19/2025,10:10:33
644878360,64181203,Open Text,What is the code for adding the column?,data<- data %>%mutate (mean=(mean(washes)),9/19/2025,10:17:23
644878360,64181224,Open Text,"In this new column, what values did you get in the top 3 rows?","35.02, 35.02, 35.02",9/19/2025,10:28:36
644878360,64181308,Open Text,What is the code for creating a histogram of washes?,"ggplot(data, aes(x=washes)) + geom_histogram",9/19/2025,11:02:56
644878363,64181010,Open Text,What packages should you load?,Library(tidyverse),9/19/2025,10:06:19
644878363,64181008,Multiple choice (Single selection),How do you load the new dataset?,"data <- read_csv(""HandWashingData.csv"")",9/19/2025,10:11:05
644878363,64181203,Open Text,What is the code for adding the column?,Data <- data %>% mutate (Mean=mean(washes)) ,9/19/2025,10:19:14
644878363,64181224,Open Text,"In this new column, what values did you get in the top 3 rows?",35.02,9/19/2025,10:27:15
644878363,64181308,Open Text,What is the code for creating a histogram of washes?,"ggplot_hist(raw_data, aes(washes))",9/19/2025,11:05:00
644878379,64181010,Open Text,What packages should you load?,Tidyverse and ggplot2,9/19/2025,10:06:19
644878379,64181008,Multiple choice (Single selection),How do you load the new dataset?,"data <- read_csv(""HandWashingData.csv"")",9/19/2025,10:09:32
644878379,64181130,Open Text,Take a peek at the data. What are the column names?,Washes and sex,9/19/2025,10:09:32
644878379,64181203,Open Text,What is the code for adding the column?,data <- data %>% mutate(Mean = mean(washes)),9/19/2025,10:16:49
644878379,64181224,Open Text,"In this new column, what values did you get in the top 3 rows?","35.02, 35.02, 35.02",9/19/2025,10:29:14
644878379,64181308,Open Text,What is the code for creating a histogram of washes?,"ggplot(data, aes(x=washing)) + geom_histogram()",9/19/2025,11:03:48
644878382,64181010,Open Text,What packages should you load?,"Tidyverse
Ggplot",9/19/2025,10:06:24
644878382,64181008,Multiple choice (Single selection),How do you load the new dataset?,"data <- read_csv(""HandWashingData.csv"")",9/19/2025,10:11:39
644878382,64181130,Open Text,Take a peek at the data. What are the column names?,"Washes, sex",9/19/2025,10:13:21
644878382,64181203,Open Text,What is the code for adding the column?,Data$mean <- Handwashing,9/19/2025,10:24:47
644878382,64181224,Open Text,"In this new column, what values did you get in the top 3 rows?",35.02 3 times,9/19/2025,10:30:25
644878382,64181308,Open Text,What is the code for creating a histogram of washes?,Ggplot<- Geom_histogram,9/19/2025,11:04:10
644878396,64181010,Open Text,What packages should you load?,Tidyverse and ggplot2,9/19/2025,10:06:52
644878396,64181008,Multiple choice (Single selection),How do you load the new dataset?,"data <- read_csv(""HandWashingData.csv"")",9/19/2025,10:09:34
644878396,64181130,Open Text,Take a peek at the data. What are the column names?,"washes, sex",9/19/2025,10:09:34
644878396,64181203,Open Text,What is the code for adding the column?,data <- data %>% mutate( meanwashes = mean(washes)) ,9/19/2025,10:18:07
644878396,64181224,Open Text,"In this new column, what values did you get in the top 3 rows?","
1: 38, F, 35.02
2: 39, F, 35.02
3: 36, F, 35.02 ",9/19/2025,10:29:05
